股票代码,股票简称,最新公告日期,每股收益(元),营业总收入(元),净利润(元),净资产收益率(%),同比增长(%),同比增长(%),每股净资产(元),每股经营现金流量(元),销售毛利率(%),季度环比增长(%),季度环比增长(%),利润分配,所处行业
000100,TCL科技,2024-04-30 00:00:00,0.1195,174446172000,2214934000,4.27,4.6893868846,747.6,2.818128697885,1.348029544151,14.6811669389,-13.9563,-52.5129,10派0.80元(含税),光学光电子
000151,中成股份,2024-03-30 00:00:00,-0.7785,3067328627.17,-262659022.14,-40.37,-27.3492291765,20.97,1.96661739284,1.776856467079,-6.0898129377,20.8329,-1191.8488,不分配不转增,贸易行业
000153,丰原药业,2024-04-26 00:00:00,0.4796,4275436713.72,159285567.9,8.8,6.7785951687,3.15,5.690543140492,0.767264057843,25.7084292267,12.0084,-57.3582,10转4股派1.50元(含税),化学制药
000155,川能动力,2024-04-27 00:00:00,0.54,3312969748.7,797428688.84,13.83,-12.8492134314,12.35,5.005564500963,1.042028838662,57.4100658702,30.5245,117.6435,不分配不转增,电力行业
000156,华数传媒,2024-04-09 00:00:00,0.37,9706864632.25,689003288.64,4.67,3.4179654462,-13.07,7.999331922076,1.060908015884,30.1506042725,36.2262,-6.9462,10派2.20元(含税),文化传媒
000157,中联重科,2024-03-29 00:00:00,0.43,47074853106.11,3506011590.67,6.41,13.0750889919,52.04,6.500008160204,0.312578263451,27.5423639689,1.0644,-20.1235,10派3.20元(含税),工程机械
000158,常山北明,2024-04-29 00:00:00,-0.06,9007201323.86,-96215247.58,-1.63,-6.7912526762,53.69,3.662386677601,0.686640444861,11.4186687773,205.3161,142.5342,不分配不转增,综合行业
000159,国际实业,2024-04-25 00:00:00,0.1681,4514450378.56,80805213.75,3.15,180.1545614459,-72.87,5.078160708877,-0.087417078388,6.0494459387,-78.9929,-25.1358,不分配不转增,石油行业
000166,申万宏源,2024-03-29 00:00:00,0.18,21500668661.21,4606340168.13,4.72,4.3233352378,65.16,3.999411454765,2.765472431317,None,29.0474,-56.8189,10派0.56元(含税),证券
000301,东方盛虹,2024-04-26 00:00:00,0.11,140439738058.63,717031594.87,1.98,119.8737460115,17.35,5.225112697421,1.26193777913,11.269128009,-2.5045,-320.6991,10派1.00元(含税),化学原料
000333,美的集团,2024-03-28 00:00:00,4.93,373709804000,33719935000,22.23,8.0996218822,14.1,23.183060103456,8.241462393654,26.4908686033,-14.0128,-36.7176,"10派30.00元(含税,扣税后27.00元)",家电行业
000338,潍柴动力,2024-03-26 00:00:00,1.04,213958475631.13,9013894024.19,11.69,22.1520243857,83.77,9.091237408034,3.147960174136,21.0864307021,-1.2395,-3.4004,10派2.93元(含税),汽车零部件
000400,许继电气,2024-04-11 00:00:00,0.9971,17060896563.04,1005384610.79,9.41,13.5142259499,28.03,10.505303396517,2.696897692924,17.9975950484,80.2164,4.2755,10派2.96元(含税),电网设备
000401,冀东水泥,2024-03-28 00:00:00,-0.564,28235146548.2,-1498372974.14,-5.09,-18.26239748,-210.36,10.694172978282,1.124724723792,11.7805225369,-25.0402,-2617.6023,不分配不转增,水泥建材
000402,金融街,2024-04-12 00:00:00,-0.65,12570632811.21,-1945571279.59,-5.27,-38.6971246679,-329.88,12.023761917047,2.026737158567,7.341591456,69.0416,0.4604,不分配不转增,房地产开发
000403,派林生物,2024-04-27 00:00:00,0.8384,2328723280.44,612111043.76,8.58,-3.1791748257,4.25,10.134573183615,0.926337899469,51.4807776231,43.2853,56.1883,10派2.00元(含税),生物制品
000404,长虹华意,2024-03-29 00:00:00,0.5203,12889012389.22,362158575.34,9.77,-1.5766670477,37.83,5.494219852454,1.241903157705,13.2182137612,-27.6533,-21.0087,10派2.50元(含税),家电行业
000407,胜利股份,2024-03-23 00:00:00,0.17,4677169179.62,153392954.89,5.46,0.6871935483,0.42,3.276899238986,0.540776609529,16.0278398942,49.3069,148.4363,10派0.55元(含税),燃气
000408,藏格矿业,2024-03-21 00:00:00,2.18,5225721163.41,3419880869.14,27.62,-36.2243549419,-39.52,8.262140300951,1.888118044549,65.245506454,-25.58,-52.1055,"10派8.00元(含税,扣税后7.20元)",化肥行业
000409,云鼎科技,2024-04-18 00:00:00,0.093,1141436797.38,61784561.65,4.35,4.6156857825,146.17,2.186615151412,0.136992461991,38.1920004113,82.0493,617.7911,不分配不转增,互联网服务
000410,沈阳机床,2024-04-18 00:00:00,0.02,1501401473.96,34756961.87,3.38,-10.1112308443,34.95,0.505820701462,0.071703864724,6.833778788,18.0071,961.4815,不分配不转增,通用设备
000411,英特集团,2024-04-20 00:00:00,1.09,32052121586.44,488732096.82,14.02,4.6796179254,130.09,8.000023524691,0.814100304582,6.8426629749,2.7557,40.5897,10派3.045元(含税),医药商业
000415,渤海租赁,2024-04-02 00:00:00,0.2072,33674749000,1281291000,4.47,5.4914512913,164.4999244903,4.786493246607,4.139597715005,43.4761043059,8.7463,33.9587,不分配不转增,多元金融
000416,*ST民控,2024-04-27 00:00:00,-0.2436,44608251.37,-129547677.32,-16.39,127.037763898,-353.35,1.364181129437,0.203814180968,99.5256749874,-29.2666,-7167.3634,不分配不转增,多元金融
000417,合肥百货,2024-04-24 00:00:00,0.3385,6688042904.45,264027711.93,5.92,6.1275727999,54.39,5.892221320127,1.071118032254,27.6805524181,3.8038,-83.6453,10派1.10元(含税),商业百货
000419,通程控股,2024-04-20 00:00:00,0.2384,2132869949.22,129606273.03,4.16,0.1107774356,-11.08,5.855738884604,0.466675787071,25.5786302688,17.144,-30.6235,10派1.20元(含税),商业百货
000420,吉林化纤,2024-04-29 00:00:00,0.0131,3736729964.21,32185641.43,0.74,1.8282359528,135.2,1.774288131754,0.098823269876,13.0564708018,-5.1214,-484.9074,不分配不转增,化纤行业
000421,南京公用,2024-04-12 00:00:00,-0.1561,4632025855.86,-90274064.53,-3.23,-34.8755266881,-249.14,4.70817108826,5.227289926662,14.7061426505,37.0887,-483.6329,10派1.00元(含税),燃气
000422,湖北宜化,2024-04-13 00:00:00,0.4698,17042037265.76,453146283.51,8.24,-17.7210920783,-79.06,6.214847847401,1.537480234022,12.6573178962,-27.5174,-54.0234,10派3.20元(含税),化学原料
000423,东阿阿胶,2024-03-22 00:00:00,1.79,4715265729.5,1150878550.46,11.12,16.6619903235,47.55,16.645031675239,3.033397999273,70.2432226271,2.0489,45.3933,10派17.80元(含税),中药
000425,徐工机械,2024-04-30 00:00:00,0.45,92848220501.93,5326470288.96,9.86,-1.0327559266,23.51,4.751513302894,0.302205757478,22.3848646998,3.8523,-61.0241,10派1.80元(含税),工程机械
000426,兴业银锡,2024-04-30 00:00:00,0.5276,3706005008.22,969344844.83,16.12,77.6703109523,457.41,3.525095330599,0.952346370132,52.8764804511,8.7143,3.897,10派0.65元(含税),有色金属
000428,华天酒店,2024-04-10 00:00:00,-0.1232,687595833.23,-125579292.22,-7.19,45.1886088395,59.58,1.66702575872,0.087210353755,21.4967197366,-12.3217,-42.2462,不分配不转增,旅游酒店
000429,粤高速A,2024-03-16 00:00:00,0.78,4879066948.19,1633811033.68,17.3,17.0423408432,28.01,4.709921084233,1.832683344391,64.3206728529,-11.5893,-41.02,10派5.47元(含税),铁路公路
000430,张家界,2024-04-23 00:00:00,-0.59,419956083.44,-239330646.68,-24.21,217.0245587187,7.87,2.14546268149,0.17723615776,10.8369432792,-36.9214,-16450.1916,不分配不转增,旅游酒店
000488,晨鸣纸业,2024-03-29 00:00:00,-0.45,26608570228.2,-1281289649.82,-7.65,-16.8595649419,-776.89,5.645326257516,1.484689431453,8.1292753039,-3.7751,-539.5404,不分配不转增,造纸印刷
000498,山东路桥,2024-04-15 00:00:00,1.3324,73024156004.38,2288678890.25,14.49,3.2893235736,-15.15,8.586254972667,-2.534702929299,12.9301566814,91.2971,207.6491,10派1.80元(含税),工程建设
000501,武商集团,2024-03-30 00:00:00,0.27,7177500740.94,209077636.9,1.91,13.2606055758,-30.72,14.352606879882,3.12784234781,47.0268230531,1.559,6085.9555,10派0.50元(含税),商业百货
000503,国新健康,2024-04-27 00:00:00,-0.0876,330126718.06,-79791984.63,-10.42,6.1229573722,5.38,1.443086428881,-0.103858510749,24.8351141773,178.3625,221.8751,不分配不转增,软件开发
000504,南华生物,2024-04-30 00:00:00,-0.09,136790924.97,-28172625.54,None,-31.7224722713,-126.15,0.778555197885,0.109921741084,68.0633384491,-6.6861,-402.957,不分配不转增,医疗服务
000505,京粮控股,2024-03-30 00:00:00,0.14,11901009211.63,102348088.85,3.29,-7.4418606656,-27.62,4.357249395103,0.150611344572,2.942659214,19.9948,364.4954,10派0.71元(含税),农牧饲渔
000506,*ST中润,2024-04-30 00:00:00,0.03,284375485.72,30017328.62,4.48,2.6073645267,-88.14,0.750031758736,-0.017287163275,-3.0777771923,2.3648,-128.2685,不分配不转增,贵金属
000507,珠海港,2024-04-27 00:00:00,0.2401,5456054195.13,277222171.22,4.33,3.9194986922,-9.57,5.624511113227,1.29334488618,24.3034873522,0.9931,21.5189,10派0.12元(含税),航运港口
000509,华塑控股,2024-04-18 00:00:00,0.0118,740746279.64,12616502.91,8.9,-16.1815354221,561.68,0.137969568575,0.011639605783,8.5610965891,43.9607,-286.4818,不分配不转增,光学光电子
000510,新金路,2024-04-27 00:00:00,-0.29,2589304485.83,-176643061.36,-13.06,-14.7924508165,-1458.88,2.08519062947,-0.198830310149,6.9706606596,-42.3951,-206.3005,不分配不转增,化学原料
000513,丽珠集团,2024-03-29 00:00:00,2.1,12430038325.82,1953650833.28,14,-1.579947527,2.32,15.198523266848,3.516397965037,64.0751440659,-6.3958,-24.6022,10派13.50元(含税),化学制药
000514,渝开发,2024-04-26 00:00:00,0.1253,1329659341.22,105730824.17,2.85,48.4727536806,-35.03,4.443331325972,-0.225126988305,36.606150153,1577.393,21651.7055,10派0.12元(含税),房地产开发
000516,国际医学,2024-04-26 00:00:00,-0.16,4617873479.43,-368360645.24,-9.03,70.3407848072,68.69,1.728591977376,0.480949136914,9.5463358354,12.3769,-228807.2673,不分配不转增,医疗服务
000517,荣安地产,2024-04-29 00:00:00,0.1123,22333390972.27,357492283.44,4.08,57.7532832302,-43.34,2.691009579057,0.762690883283,10.3290097664,194.6623,-491.4174,10派3.20元(含税),房地产开发
000518,四环生物,2024-04-30 00:00:00,-0.0731,235419049.03,-75269896.35,-14.49,-12.8559140203,-54.26,0.467878241515,0.001582852646,69.761478664,-5.1958,-476.5419,不分配不转增,生物制品
000519,中兵红箭,2024-04-20 00:00:00,0.5948,6115915153.49,828330287.82,8.17,-8.9025039246,1.08,7.561036359859,0.168583947254,32.2541955731,184.2628,522.3708,10派0.55元(含税),专用设备
000520,凤凰航运,2024-04-26 00:00:00,-0.0086,1011599002.55,-8702150.84,-1.58,-2.9238235096,-124.02,0.537817668929,-0.051244521441,2.0362083185,4.25,195.8437,不分配不转增,航运港口
000521,长虹美菱,2024-03-30 00:00:00,0.7195,24247678970.56,741038108.54,13.49,19.9476371764,203.04,5.655547657809,2.021842273085,13.9441105969,-19.8592,72.1611,10派3.00元(含税),家电行业
000523,红棉股份,2024-04-02 00:00:00,0.04,2629215949.83,74832868.13,5.85,-0.2907093121,255.4,0.763359211177,0.274397712067,12.3548986735,-36.9533,176.0784,不分配不转增,食品饮料
000524,岭南控股,2024-03-23 00:00:00,0.1,3403855907.91,68837785.83,3.32,229.0166198051,138.67,3.134012399366,0.607780513908,20.868408524,-25.5534,-61.4048,不分配不转增,旅游酒店
000525,ST红太阳,2024-04-30 00:00:00,-0.67,3232236356.18,-389116496.12,-36.14,-49.8093137687,-153.13,1.513189022105,0.917586239569,5.7614570446,-44.8418,-7693.9961,不分配不转增,农药兽药
000526,学大教育,2024-04-27 00:00:00,1.3059,2212636261.51,153783023.19,29.85,23.087366282,1035.24,4.946883219185,4.973563464622,36.5021601837,-22.6165,30.4086,不分配不转增,教育
000528,柳工,2024-03-30 00:00:00,0.4448,27519122309.99,867811519.99,5.4,3.9252102453,44.8,8.420488932637,0.83484612908,20.8193374707,5.3762,-80.4527,10派2.00元(含税),工程机械
000529,广弘控股,2024-04-25 00:00:00,0.3646,2790359035.26,212853572.76,6.95,-18.360524167,-76.78,5.375468598169,0.072013240062,4.0450151394,3.0704,81.6018,10派1.50元(含税),食品饮料
000530,冰山冷热,2024-04-26 00:00:00,0.06,4815941467.7,49375900.83,1.63,66.4638595541,163.59,3.614170274339,-0.028985181715,16.8262844336,-4.7654,-255.5562,10派0.30元(含税),通用设备
000531,穗恒运A,2024-04-10 00:00:00,0.3504,4822247814.75,293110314.03,5.66,22.6352398012,611.45,6.295447222435,0.538331282276,14.8597355668,-12.6937,-99.0176,10派1.00元(含税),电力行业
000532,华金资本,2024-03-27 00:00:00,0.2147,400958114.9,74002913.76,5.59,-38.5261648873,-48.41,3.919588967531,0.354429969696,42.4714295688,24.9807,27.24,10派0.65元(含税),综合行业
000533,顺钠股份,2024-04-16 00:00:00,0.0932,2066922966.26,64374051.97,8.64,16.527239457,104.31,1.122425255321,0.286634837511,21.4893147529,-6.3495,-41.0023,不分配不转增,电网设备
000534,万泽股份,2024-03-30 00:00:00,0.3574,981439362.7,176554971.16,13.86,23.6314137157,73.54,2.380306320481,0.186113788033,74.2340137404,1.1103,53.3195,10派1.20元(含税),生物制品
000536,华映科技,2024-04-12 00:00:00,-0.58,1455444762.62,-1604178273.58,-49.59,-38.0611846534,-31.17,0.878883591201,-0.171943641762,-54.6355269793,117.3496,-37.519,不分配不转增,光学光电子
000537,中绿电,2024-04-30 00:00:00,0.49,3690586799.66,919575847.18,5.48,7.6033090834,45.14,9.2127595533,1.363028138237,53.5399080971,-5.5373,-55.9423,10派1.80元(含税),电力行业
000538,云南白药,2024-03-30 00:00:00,2.29,39111292156,4093782074.02,10.51,7.1883707488,36.41,22.193752134076,1.949365770893,26.5058348734,0.4649,-102.2923,"10派20.77元(含税,扣税后18.693元)",中药
000539,粤电力A,2024-03-30 00:00:00,0.19,59708397738,974660299,4.59,13.3823844347,132.7,4.21724529931,1.612416072078,14.6334525645,-13.6697,-186.4275,10派0.20元(含税),电力行业
000541,佛山照明,2024-04-19 00:00:00,0.2128,9057292003.9,290357652.22,5.51,3.3941541841,26.07,4.058323319918,0.758268650884,18.7967634383,1.3151,-25.9341,10派1.20元(含税),家电行业
000543,皖能电力,2024-04-16 00:00:00,0.63,27866767123.95,1429509728.37,10.38,8.2633602761,186.37,6.109401035562,0.748047758945,6.8712358837,-4.0114,-82.68,10派2.21元(含税),电力行业
000544,中原环保,2024-03-30 00:00:00,0.8825,7812940694.22,860116737.88,7.39,-0.4976611363,20.47,7.697942888222,-2.07480273993,28.1737504472,42.1263,-90.095,10派1.80元(含税),公用事业
000545,金浦钛业,2024-04-29 00:00:00,-0.1628,2264264851.79,-160665072.37,-9.74,-9.7901205826,-10.64,1.387712639788,0.215695971034,3.6636594842,-0.0888,-401.9722,不分配不转增,化学原料
000546,金圆股份,2024-04-24 00:00:00,-0.87,2843621882.45,-678327617.6,-15.07,-49.3137560504,-221.74,5.379917530473,0.715129188406,1.6421107957,108.8921,-1249.5873,不分配不转增,环保行业
000547,航天发展,2024-04-30 00:00:00,-1.22,1862575225.19,-1950391845.97,-24.8,-47.7416487452,-5510.38,4.292992326049,-0.191496489112,-17.4900820028,-27.4855,-613.6313,不分配不转增,通信设备
000548,湖南投资,2024-05-17 00:00:00,0.3,1249917100.51,148704665.49,7.71,200.8964027401,320.09,4.006417562524,0.757573065149,31.0472172212,757.142,160.0004,10派0.90元(含税),铁路公路
